样本,换仓日,持有周期,持仓股票,持仓股票名称,持仓数量
全市场,20221130,2022-12,"920204.BJ,920346.BJ,920174.BJ,600382.SH,920405.BJ","沪江材料,威贸电子,五新隧装,广东明珠,海希通讯",5
全市场,20221031,2022-11,"920204.BJ,920174.BJ,600382.SH,920346.BJ,600113.SH","沪江材料,五新隧装,广东明珠,威贸电子,浙江东日",5
全市场,20220930,2022-10,"600382.SH,920174.BJ,600113.SH,000949.SZ,600802.SH","广东明珠,五新隧装,浙江东日,新乡化纤,福建水泥",5
全市场,20220831,2022-09,"600382.SH,920566.BJ,600113.SH,920405.BJ,000949.SZ","广东明珠,梓橦宫,浙江东日,海希通讯,新乡化纤",5
全市场,20220729,2022-08,"600382.SH,000949.SZ,600113.SH,600802.SH,920566.BJ","广东明珠,新乡化纤,浙江东日,福建水泥,梓橦宫",5
全市场,20220630,2022-07,"600382.SH,002022.SZ,600113.SH,000949.SZ,920566.BJ","广东明珠,科华生物,浙江东日,新乡化纤,梓橦宫",5
全市场,20220531,2022-06,"002753.SZ,000949.SZ,002022.SZ,600327.SH,002469.SZ","永东股份,新乡化纤,科华生物,大东方,三维化学",5
全市场,20220429,2022-05,"002753.SZ,600113.SH,000949.SZ,600327.SH,002469.SZ","永东股份,浙江东日,新乡化纤,大东方,三维化学",5
全市场,20220331,2022-04,"920765.BJ,920832.BJ,920198.BJ,920370.BJ,002582.SZ","美之高,齐鲁华信,微创光电,新安洁,好想你",5
全市场,20220228,2022-03,"920225.BJ,920832.BJ,920198.BJ,920370.BJ,002582.SZ","利通科技,齐鲁华信,微创光电,新安洁,好想你",5
全市场,20220128,2022-02,"920832.BJ,920225.BJ,002582.SZ,920370.BJ,000529.SZ","齐鲁华信,利通科技,好想你,新安洁,广弘控股",5
全市场,20211231,2022-01,"920832.BJ,002582.SZ,920225.BJ,920370.BJ,002443.SZ","齐鲁华信,好想你,利通科技,新安洁,金洲管道",5
全市场,20211130,2021-12,"920832.BJ,920225.BJ,002582.SZ,002443.SZ,002016.SZ","齐鲁华信,利通科技,好想你,金洲管道,世荣兆业",5
全市场,20211029,2021-11,"002443.SZ,002582.SZ,002016.SZ,000589.SZ,002381.SZ","金洲管道,好想你,世荣兆业,贵州轮胎,双箭股份",5
全市场,20210930,2021-10,"002443.SZ,002381.SZ,002016.SZ,000589.SZ,000529.SZ","金洲管道,双箭股份,世荣兆业,贵州轮胎,广弘控股",5
全市场,20210831,2021-09,"002443.SZ,000589.SZ,002016.SZ,000529.SZ,002381.SZ","金洲管道,贵州轮胎,世荣兆业,广弘控股,双箭股份",5
全市场,20210730,2021-08,"002443.SZ,002255.SZ,600449.SH,000529.SZ,000589.SZ","金洲管道,海陆重工,宁夏建材,广弘控股,贵州轮胎",5
全市场,20210630,2021-07,"002443.SZ,603683.SH,002255.SZ,002582.SZ,000529.SZ","金洲管道,晶华新材,海陆重工,好想你,广弘控股",5
全市场,20210531,2021-06,"002443.SZ,002255.SZ,000589.SZ,601002.SH,000529.SZ","金洲管道,海陆重工,贵州轮胎,晋亿实业,广弘控股",5
全市场,20210430,2021-05,"002443.SZ,000529.SZ,601002.SH,002255.SZ,600802.SH","金洲管道,广弘控股,晋亿实业,海陆重工,福建水泥",5
全市场,20210331,2021-04,"600052.SH,600408.SH,002255.SZ,600987.SH,002016.SZ","东望时代,安泰集团,海陆重工,航民股份,世荣兆业",5
全市场,20210226,2021-03,"600052.SH,600368.SH,000966.SZ,600995.SH,600408.SH","东望时代,五洲交通,长源电力,南网储能,安泰集团",5
全市场,20210129,2021-02,"600052.SH,600368.SH,000966.SZ,600408.SH,600995.SH","东望时代,五洲交通,长源电力,安泰集团,南网储能",5
全市场,20201231,2021-01,"600052.SH,600368.SH,600408.SH,000966.SZ,600995.SH","东望时代,五洲交通,安泰集团,长源电力,南网储能",5
全市场,20201130,2020-12,"600408.SH,600052.SH,600368.SH,000966.SZ,600995.SH","安泰集团,东望时代,五洲交通,长源电力,南网储能",5
全市场,20201030,2020-11,"600408.SH,600052.SH,600368.SH,000966.SZ,002379.SZ","安泰集团,东望时代,五洲交通,长源电力,宏桥控股",5
全市场,20200930,2020-10,"600408.SH,600052.SH,600368.SH,000966.SZ,600995.SH","安泰集团,东望时代,五洲交通,长源电力,南网储能",5
全市场,20200831,2020-09,"600408.SH,600052.SH,600368.SH,000966.SZ,002379.SZ","安泰集团,东望时代,五洲交通,长源电力,宏桥控股",5
全市场,20200731,2020-08,"600408.SH,600052.SH,600368.SH,000966.SZ,002088.SZ","安泰集团,东望时代,五洲交通,长源电力,鲁阳节能",5
全市场,20200630,2020-07,"600408.SH,600052.SH,600368.SH,000966.SZ,002379.SZ","安泰集团,东望时代,五洲交通,长源电力,宏桥控股",5
全市场,20200529,2020-06,"600052.SH,600408.SH,600368.SH,000966.SZ,002088.SZ","东望时代,安泰集团,五洲交通,长源电力,鲁阳节能",5
全市场,20200430,2020-05,"600408.SH,600052.SH,600368.SH,000966.SZ,002088.SZ","安泰集团,东望时代,五洲交通,长源电力,鲁阳节能",5
全市场,20200331,2020-04,"000822.SZ,600230.SH,600368.SH,000055.SZ,600971.SH","山东海化,沧州大化,五洲交通,方大集团,恒源煤电",5
全市场,20200228,2020-03,"000822.SZ,600230.SH,000055.SZ,600423.SH,600408.SH","山东海化,沧州大化,方大集团,柳化股份,安泰集团",5
全市场,20200123,2020-02,"000822.SZ,600230.SH,000055.SZ,600971.SH,600173.SH","山东海化,沧州大化,方大集团,恒源煤电,卧龙新能",5
全市场,20191231,2020-01,"000055.SZ,600408.SH,000822.SZ,600173.SH,600810.SH","方大集团,安泰集团,山东海化,卧龙新能,神马股份",5
全市场,20191129,2019-12,"600230.SH,000055.SZ,600408.SH,000822.SZ,600173.SH","沧州大化,方大集团,安泰集团,山东海化,卧龙新能",5
全市场,20191031,2019-11,"000055.SZ,000822.SZ,600230.SH,600408.SH,600971.SH","方大集团,山东海化,沧州大化,安泰集团,恒源煤电",5
全市场,20190930,2019-10,"000822.SZ,000055.SZ,600408.SH,600423.SH,600399.SH","山东海化,方大集团,安泰集团,柳化股份,抚顺特钢",5
全市场,20190830,2019-09,"600423.SH,600173.SH,000822.SZ,000055.SZ,600408.SH","柳化股份,卧龙新能,山东海化,方大集团,安泰集团",5
全市场,20190731,2019-08,"600423.SH,600173.SH,000055.SZ,600408.SH,000822.SZ","柳化股份,卧龙新能,方大集团,安泰集团,山东海化",5
全市场,20190628,2019-07,"600423.SH,600173.SH,000055.SZ,000822.SZ,600971.SH","柳化股份,卧龙新能,方大集团,山东海化,恒源煤电",5
全市场,20190531,2019-06,"600423.SH,600173.SH,600971.SH,000055.SZ,000822.SZ","柳化股份,卧龙新能,恒源煤电,方大集团,山东海化",5
全市场,20190430,2019-05,"600423.SH,600173.SH,000055.SZ,600971.SH,000822.SZ","柳化股份,卧龙新能,方大集团,恒源煤电,山东海化",5
全市场,20190329,2019-04,"600121.SH,600966.SH,600423.SH,002067.SZ,002775.SZ","郑州煤电,博汇纸业,柳化股份,景兴纸业,文科股份",5
全市场,20190228,2019-03,"600051.SH,600121.SH,600966.SH,002067.SZ,002094.SZ","宁波联合,郑州煤电,博汇纸业,景兴纸业,青岛金王",5
全市场,20190131,2019-02,"600051.SH,600121.SH,002094.SZ,002775.SZ,600966.SH","宁波联合,郑州煤电,青岛金王,文科股份,博汇纸业",5
全市场,20181228,2019-01,"600051.SH,600121.SH,002067.SZ,600966.SH,002094.SZ","宁波联合,郑州煤电,景兴纸业,博汇纸业,青岛金王",5
全市场,20181130,2018-12,"600051.SH,600121.SH,600966.SH,002067.SZ,002775.SZ","宁波联合,郑州煤电,博汇纸业,景兴纸业,文科股份",5
全市场,20181031,2018-11,"600051.SH,600121.SH,002067.SZ,002094.SZ,002270.SZ","宁波联合,郑州煤电,景兴纸业,青岛金王,华明装备",5
全市场,20180928,2018-10,"600051.SH,600121.SH,002067.SZ,000785.SZ,600966.SH","宁波联合,郑州煤电,景兴纸业,居然智家,博汇纸业",5
全市场,20180831,2018-09,"600051.SH,600121.SH,000785.SZ,002067.SZ,600966.SH","宁波联合,郑州煤电,居然智家,景兴纸业,博汇纸业",5
全市场,20180731,2018-08,"600051.SH,002427.SZ,002323.SZ,600121.SH,002067.SZ","宁波联合,尤夫股份,雅博股份,郑州煤电,景兴纸业",5
全市场,20180629,2018-07,"600051.SH,600121.SH,000785.SZ,600966.SH,002427.SZ","宁波联合,郑州煤电,居然智家,博汇纸业,尤夫股份",5
全市场,20180531,2018-06,"600051.SH,600121.SH,002067.SZ,600971.SH,600966.SH","宁波联合,郑州煤电,景兴纸业,恒源煤电,博汇纸业",5
全市场,20180427,2018-05,"600051.SH,600121.SH,600894.SH,600966.SH,600971.SH","宁波联合,郑州煤电,广日股份,博汇纸业,恒源煤电",5
全市场,20180330,2018-04,"000531.SZ,000863.SZ,600730.SH,600894.SH,600075.SH","穗恒运Ａ,三湘印象,中国高科,广日股份,新疆天业",5
全市场,20180228,2018-03,"000531.SZ,600730.SH,000863.SZ,000936.SZ,000037.SZ","穗恒运Ａ,中国高科,三湘印象,华西股份,深南电A",5
全市场,20180131,2018-02,"000531.SZ,000863.SZ,000936.SZ,600730.SH,600894.SH","穗恒运Ａ,三湘印象,华西股份,中国高科,广日股份",5
全市场,20171229,2018-01,"000531.SZ,600730.SH,000936.SZ,000863.SZ,000037.SZ","穗恒运Ａ,中国高科,华西股份,三湘印象,深南电A",5
