样本,频率,IC,IR,SR,Group_1_ret,Group_2_ret,Group_3_ret,Group_4_ret,Group_5_ret,Group_6_ret,Group_7_ret,Group_8_ret,Group_9_ret,Group_10_ret
中证800,周度,0.01,0.09,0.23,0.89,1.11,1.08,1.07,1.12,1.41,1.28,1.33,1.48,1.21
中证800,月度,0.01,0.09,0.25,1.05,1.34,1.34,1.28,1.0,1.24,1.33,1.4,1.5,1.4
中证1000,周度,0.01,0.13,0.12,-0.57,0.59,0.87,0.88,1.15,1.07,1.33,1.26,0.95,-0.41
中证1000,月度,0.02,0.18,0.4,0.14,0.62,1.19,1.26,1.12,1.34,1.35,1.31,1.06,0.6
全市场,周度,0.02,0.25,0.68,-1.8,0.02,0.59,0.87,0.9,1.08,1.16,1.11,0.82,-1.08
全市场,月度,0.01,0.19,0.46,-0.51,0.58,0.91,0.99,1.07,1.05,1.12,1.01,0.84,-0.09
